Month,folder_id,Folder,Articles,Article thường,Article thương mại,A- Build Top,A- Non- Build Top,Pageviews,Pageviews (-$),Pageviews ($),P- Ex-Direct,P- Ex-Google,P- Ex-Social,P- In-Home,P- In-Folder,P- In-Detail,P- In-Other,P- Listing,P- Detail,P- DO,P- OV,P- Unknown,P- Mobile,P- PC,P- App,P- Tablet
6/2026,1005628,Bất động sản,282,140,142,34,248,"4,078,152",301313,3776839,226098,765802,230688,1095545,285021,288183,1139742,899609,3178543,3832085,244236,1831,1923226,1777062,352034,23451
6/2026,1002966,Đời sống,297,239,58,42,255,"9,036,090",635508,8400582,446677,2315249,318186,2293830,375822,774638,2409010,854178,8181912,7595445,1431883,8762,5145850,3038356,792005,56206
6/2026,1003231,Du lịch,269,205,64,38,231,"4,849,586",320050,4529536,307321,1777882,105462,964160,199875,411627,1041461,460125,4389461,4089665,754509,5412,2730782,1729999,351712,35109
6/2026,1003888,English,1110,1057,53,0,1110,"12,470,226",234189,12236037,1168564,8729907,238335,233238,45083,559663,1425163,1134329,11335897,1758365,10523215,188646,10425143,1387084,471041,160868
6/2026,1002691,Giải trí,477,455,22,97,380,"11,239,141",864040,10375101,542690,2218364,194192,2987392,746589,1434166,3009165,1655626,9583515,9049027,2177627,12487,5780161,4429862,934119,85193
6/2026,1003497,Giáo dục,374,283,91,139,235,"15,947,668",695725,15251943,1352166,7157384,1067641,1962895,322507,1467705,2523095,1437240,14510428,15294752,643631,9285,10625231,4382977,835605,96260
6/2026,1003450,Góc nhìn,32,32,0,0,32,"1,858,364",133539,1724825,68529,104510,60567,577450,93888,92542,854978,472321,1386043,1707715,148726,1923,723333,713701,410075,9683
6/2026,1006219,Khoa học công nghệ,401,341,60,70,331,"8,735,557",748788,7986769,582588,1512421,255428,2860688,356305,626542,2473604,1113416,7410687,7720653,1006741,8163,5189229,2529103,967556,43523
6/2026,1003159,Kinh doanh,745,444,301,177,568,"13,588,310",1034938,12553372,1059253,2252544,782451,3626453,913691,878547,3979675,2827089,10761221,12398158,1181082,9070,7020593,5200180,1295586,64948
6/2026,1004492,Mới nhất,0,0,0,0,0,"4,816,230",420570,4395660,239010,237151,146,574900,162541,493561,3106961,4816230,0,4222873,591092,2265,902045,2099643,1796546,15041
6/2026,1002835,Ngôi sao,1610,1575,35,835,775,"42,251,883",1698256,40553627,7236712,8709012,584573,7275224,994416,7761057,9620263,14884794,27367089,35643315,6581151,27417,26296008,15224081,445964,228050
6/2026,1001007,Pháp luật,388,388,0,156,232,"22,714,947",1322434,21392513,1447585,5387426,2052233,4966920,1346226,2117651,5269418,2852774,19862173,21075106,1632672,7169,14771663,5835077,1994634,102622
6/2026,1005858,Spotlight,2,2,0,2,0,"8,915",988,7927,495,383,226,2986,610,990,3171,5244,3671,8258,655,2,4088,4774,26,23
6/2026,1003750,Sức khỏe,1014,417,597,78,936,"9,793,487",631470,9162017,495235,1859628,936935,2428278,340351,732009,2911683,962375,8831112,8806169,980501,6817,5546778,3017363,1165532,57621
6/2026,1001014,Tâm sự,502,502,0,0,502,"7,984,579",566109,7418470,406688,1063010,46933,1386193,1251068,1162819,2624913,2344488,5640091,7084634,896316,3629,4345979,2906879,686351,42143
6/2026,1001002,Thế giới,891,891,0,547,344,"70,344,716",5773691,64571025,3942989,6725448,1701742,20815336,6150805,8389032,22218513,14813552,55531164,59111616,11188592,44508,41971198,20522922,7462880,355757
6/2026,1002565,Thể thao,746,678,68,187,559,"19,877,286",1537384,18339902,1365906,3619366,127812,4195053,2543350,1871709,6084651,6622117,13255169,17248895,2615232,13159,11574422,6356016,1842642,91069
6/2026,1001005,Thời sự,574,544,30,381,193,"28,507,789",1911072,26596717,2069546,4656565,1845709,8818039,1264016,1958318,7774105,4152301,24355488,26820179,1674062,13548,16472780,9100630,2789450,130144
6/2026,1001011,Thư giãn,217,217,0,0,217,"10,209,008",278261,9930747,500362,5129612,120999,447027,104317,3144180,725816,225114,9983894,9751925,454223,2860,8737250,1287123,117092,65726
6/2026,1006614,Tia sáng,,,,,,,,,,,,,,,,,,,,,,,,
6/2026,-1,Vbrand,,,,,,,,,,,,,,,,,,,,,,,,
6/2026,1006255,VnE-GO,32,32,0,1,31,"5,159,245",268694,4890551,209364,122020,112011,1852677,304915,399139,2133366,9984,6752,4704269,451024,3952,2474897,2156146,493971,17330
6/2026,1000000,VnExpress,0,0,0,0,0,"164,805,241",11393895,153411346,70179114,17959569,64771,42918,1245475,6304727,68510696,164805241,0,145777778,18961864,65599,79397985,59107517,25668104,537761
6/2026,1001006,Xe,284,242,42,28,256,"10,129,620",740249,9389371,541549,3691842,156508,1271508,743170,619726,3071160,3953524,6176096,9429112,694760,5748,6072699,3463772,533601,47127
6/2026,1001012,Ý kiến,204,204,0,1,203,"6,212,018",285077,5926941,282826,2930623,346031,867163,172595,531192,997144,401098,5810920,5826752,383396,1870,4549039,1214540,408917,37843
7/2026,1005628,Bất động sản,230,131,99,28,202,"3,770,056",277646,3492410,227568,767425,189498,995963,277259,252726,1086057,838979,2931077,3543940,224168,1948,1876404,1535492,336440,21720
7/2026,1002966,Đời sống,274,233,41,40,234,"8,603,812",612509,7991303,456778,2121568,348074,2138722,357288,727043,2487428,881478,7722334,7284992,1308873,9947,4901844,2863777,778716,59475
7/2026,1003231,Du lịch,265,191,74,38,227,"4,946,876",322055,4624821,317769,1838634,142323,939462,207399,418706,1104618,485292,4461584,4248496,692994,5386,2758116,1804791,349279,34690
7/2026,1003888,English,1022,968,54,0,1022,"12,012,410",238386,11774024,1160359,8502390,207214,212260,39755,510967,1402283,1130635,10881775,1822837,10009664,179909,10041428,1316654,498579,155749
7/2026,1002691,Giải trí,446,423,23,94,352,"10,858,079",838426,10019653,539958,2257252,242036,2900742,709849,1292025,2945209,1555541,9302538,8902598,1943013,12468,5699477,4196144,879417,83041
7/2026,1003497,Giáo dục,321,247,74,83,238,"12,658,495",526011,12132484,1033221,6341258,683266,1557007,249767,1002167,1818274,1051515,11606980,12182069,469317,7109,8798547,3224754,561917,73277
7/2026,1003450,Góc nhìn,34,34,0,0,34,"2,277,159",149811,2127348,77177,143431,64361,729571,76059,122394,1098656,589255,1687904,2097034,177983,2142,883397,896796,485608,11358
7/2026,1006219,Khoa học công nghệ,381,326,55,59,322,"9,429,915",793080,8636835,633910,1863588,272304,3035311,399066,664273,2608401,1184918,8063228,8367980,1053434,8501,5667104,2713295,999908,49608
7/2026,1003159,Kinh doanh,756,419,337,175,581,"14,249,036",1076127,13172909,1067215,2298642,674697,4069865,920436,888497,4369280,2889758,11359278,13028243,1211756,9037,7387340,5429188,1366050,66458
7/2026,1004492,Mới nhất,0,0,0,0,0,"5,123,056",435884,4687172,254336,243552,143,623472,166416,519097,3346419,5123056,0,4505500,615147,2409,957906,2207907,1941656,15587
7/2026,1002835,Ngôi sao,1645,1608,37,842,803,"41,747,569",1730761,40016808,7192931,8850608,610014,6804107,987483,7864455,9667794,15155694,26591875,35308696,6409540,29333,25977997,15053702,488258,227612
7/2026,1001007,Pháp luật,376,376,0,154,222,"21,505,745",1319760,20185985,1383791,4892440,1925340,4662497,1305436,2068997,5299493,2856515,18649230,19864249,1633519,7977,13994328,5485458,1929007,96952
7/2026,1005858,Spotlight,0,0,0,0,0,"8,103",947,7156,432,154,204,2631,643,892,3174,4728,3375,7523,573,7,3703,4370,10,20
7/2026,1003750,Sức khỏe,1035,420,615,73,962,"9,307,816",593259,8714557,489725,1780447,858607,2277028,322409,679165,2932976,966373,8341443,8388489,912555,6772,5258778,2876615,1118167,54256
7/2026,1001014,Tâm sự,486,486,0,0,486,"7,698,903",541818,7157085,389028,947472,40871,1355026,1227845,1154865,2613589,2336338,5362565,6847844,847526,3533,4171286,2814896,672990,39731
7/2026,1001002,Thế giới,920,920,0,566,354,"52,096,069",4258957,47837112,2853112,5605051,895576,14986687,4606213,6371536,17042571,11867160,40228909,44498369,7565438,32262,30600104,15647573,5586616,261776
7/2026,1002565,Thể thao,746,677,69,183,563,"20,381,617",1528659,18852958,1373516,4001925,142718,4142702,2674395,1908857,6174780,6966144,13415473,17804477,2563381,13759,11874272,6541604,1871275,94466
7/2026,1001005,Thời sự,554,519,35,367,187,"28,092,729",1897451,26195278,2068940,4396115,1649987,8850650,1236893,2058349,8001886,4079822,24012907,26414995,1664187,13547,16315802,8937000,2713750,126177
7/2026,1001011,Thư giãn,216,216,0,0,216,"7,605,394",244199,7361195,380126,3894576,32194,443729,103036,2063059,715566,220739,7384655,7314271,288924,2199,6340578,1118318,97072,49426
7/2026,1006614,Tia sáng,65,65,0,0,65,"74,136",6773,67363,7334,14227,10512,12642,1681,3999,23832,15428,58708,71960,2156,20,38703,26767,8230,436
7/2026,-1,Vbrand,,,,,,,,,,,,,,,,,,,,,,,,
7/2026,1006255,VnE-GO,0,0,0,0,0,"4,547,406",240182,4307224,198642,97120,68326,1630138,284451,364506,1917957,0,0,4164104,379963,3339,2198083,1894982,439360,14981
7/2026,1000000,VnExpress,0,0,0,0,0,"168,767,175",11585250,157181925,72093557,18503814,64223,43906,1250266,6541571,70498774,168767175,0,149591410,19109778,65987,81659976,60383182,26188448,535569
7/2026,1001006,Xe,266,231,35,32,234,"9,891,911",726488,9165423,514800,3616238,113063,1261395,683050,607869,3123869,3886566,6005345,9201997,684948,4966,5983756,3343353,519503,45299
7/2026,1001012,Ý kiến,194,194,0,1,193,"5,364,984",263155,5101829,235777,2435773,346914,803730,174621,460395,932970,392817,4972167,5068205,295058,1721,3902341,1072978,360352,29313
8/2026,1005628,Bất động sản,230,143,87,31,199,"3,913,546",285514,3628032,216666,804558,212170,1034440,268700,265691,1135451,833501,3080045,3670984,240728,1834,1887010,1657805,346294,22437
8/2026,1002966,Đời sống,274,213,61,40,234,"8,668,919",620601,8048318,460838,2063381,327471,2139611,365318,740926,2598642,883679,7785240,7363953,1294829,10137,4951475,2864694,792070,60680
8/2026,1003231,Du lịch,265,190,75,41,224,"4,896,878",318465,4578413,313419,1780447,138096,932064,204642,414219,1138541,478952,4417926,4206584,684908,5386,2728956,1786523,346618,34781
8/2026,1003888,English,1048,992,56,0,1048,"12,231,902",242386,11989516,1181260,8654870,210940,216091,40470,520186,1427845,1147816,11084086,1855648,10192534,183720,10221972,1340337,507551,162042
8/2026,1002691,Giải trí,446,423,23,94,352,"10,858,079",838426,10019653,539958,2257252,242036,2900742,709849,1292025,2945209,1555541,9302538,8902598,1943013,12468,5699477,4196144,879417,83041
8/2026,1003497,Giáo dục,321,247,74,83,238,"12,658,495",526011,12132484,1033221,6341258,683266,1557007,249767,1002167,1818274,1051515,11606980,12182069,469317,7109,8798547,3224754,561917,73277
8/2026,1003450,Góc nhìn,34,34,0,0,34,"2,277,159",149811,2127348,77177,143431,64361,729571,76059,122394,1098656,589255,1687904,2097034,177983,2142,883397,896796,485608,11358
8/2026,1006219,Khoa học công nghệ,381,326,55,59,322,"9,429,915",793080,8636835,633910,1863588,272304,3035311,399066,664273,2608401,1184918,8063228,8367980,1053434,8501,5667104,2713295,999908,49608
8/2026,1003159,Kinh doanh,756,419,337,175,581,"14,249,036",1076127,13172909,1067215,2298642,674697,4069865,920436,888497,4369280,2889758,11359278,13028243,1211756,9037,7387340,5429188,1366050,66458
8/2026,1004492,Mới nhất,0,0,0,0,0,"5,123,056",435884,4687172,254336,243552,143,623472,166416,519097,3346419,5123056,0,4505500,615147,2409,957906,2207907,1941656,15587
8/2026,1002835,Ngôi sao,1645,1608,37,842,803,"41,747,569",1730761,40016808,7192931,8850608,610014,6804107,987483,7864455,9667794,15155694,26591875,35308696,6409540,29333,25977997,15053702,488258,227612
8/2026,1001007,Pháp luật,376,376,0,154,222,"21,505,745",1319760,20185985,1383791,4892440,1925340,4662497,1305436,2068997,5299493,2856515,18649230,19864249,1633519,7977,13994328,5485458,1929007,96952
8/2026,1005858,Spotlight,0,0,0,0,0,"8,103",947,7156,432,154,204,2631,643,892,3174,4728,3375,7523,573,7,3703,4370,10,20
8/2026,1003750,Sức khỏe,1035,420,615,73,962,"9,307,816",593259,8714557,489725,1780447,858607,2277028,322409,679165,2932976,966373,8341443,8388489,912555,6772,5258778,2876615,1118167,54256
8/2026,1001014,Tâm sự,486,486,0,0,486,"7,698,903",541818,7157085,389028,947472,40871,1355026,1227845,1154865,2613589,2336338,5362565,6847844,847526,3533,4171286,2814896,672990,39731
8/2026,1001002,Thế giới,920,920,0,566,354,"52,096,069",4258957,47837112,2853112,5605051,895576,14986687,4606213,6371536,17042571,11867160,40228909,44498369,7565438,32262,30600104,15647573,5586616,261776
8/2026,1002565,Thể thao,746,677,69,183,563,"20,381,617",1528659,18852958,1373516,4001925,142718,4142702,2674395,1908857,6174780,6966144,13415473,17804477,2563381,13759,11874272,6541604,1871275,94466
8/2026,1001005,Thời sự,554,519,35,367,187,"28,092,729",1897451,26195278,2068940,4396115,1649987,8850650,1236893,2058349,8001886,4079822,24012907,26414995,1664187,13547,16315802,8937000,2713750,126177
8/2026,1001011,Thư giãn,216,216,0,0,216,"7,605,394",244199,7361195,380126,3894576,32194,443729,103036,2063059,715566,220739,7384655,7314271,288924,2199,6340578,1118318,97072,49426
8/2026,1006614,Tia sáng,65,65,0,0,65,"74,136",6773,67363,7334,14227,10512,12642,1681,3999,23832,15428,58708,71960,2156,20,38703,26767,8230,436
8/2026,-1,Vbrand,,,,,,,,,,,,,,,,,,,,,,,,
8/2026,1006255,VnE-GO,0,0,0,0,0,"4,547,406",240182,4307224,198642,97120,68326,1630138,284451,364506,1917957,0,0,4164104,379963,3339,2198083,1894982,439360,14981
8/2026,1000000,VnExpress,0,0,0,0,0,"168,767,175",11585250,157181925,72093557,18503814,64223,43906,1250266,6541571,70498774,168767175,0,149591410,19109778,65987,81659976,60383182,26188448,535569
8/2026,1001006,Xe,266,231,35,32,234,"9,891,911",726488,9165423,514800,3616238,113063,1261395,683050,607869,3123869,3886566,6005345,9201997,684948,4966,5983756,3343353,519503,45299
8/2026,1001012,Ý kiến,194,194,0,1,193,"5,364,984",263155,5101829,235777,2435773,346914,803730,174621,460395,932970,392817,4972167,5068205,295058,1721,3902341,1072978,360352,29313
