Month,folder_id,Folder,Articles,Article thường,Article thương mại,A- Build Top,A- Non- Build Top,Pageviews,Pageviews (-$),Pageviews ($),P- Ex-Direct,P- Ex-Google,P- Ex-Social,P- In-Home,P- In-Folder,P- In-Detail,P- In-Other,P- Listing,P- Detail,P- DO,P- OV,P- Unknown,P- Mobile,P- PC,P- App,P- Tablet
8/2025,1001012,Ý kiến,216,216,0,1,215,"5,339,908",281286,5058622,320527,1927268,421676,758115,238387,517348,1079707,505057,4834851,4974228,361473,4207,3662265,1148703,496400,30997
9/2025,1005628,Bất động sản,173,131,42,57,116,"5,404,905",428963,4975942,290424,708238,260689,1864975,312905,407385,1530351,1008776,4396129,5041755,357144,6006,2599677,2208248,563435,30616
9/2025,1002966,Đời sống,262,187,75,54,208,"9,048,749",638508,8410241,421969,2214836,257775,2447322,444696,850263,2314364,985705,8063044,8000984,1025349,22416,5023999,3184035,780275,55961
9/2025,1003231,Du lịch,193,149,44,44,149,"4,958,589",347685,4610904,287174,1441691,118485,1282818,226528,401553,1163565,539182,4419407,4444483,504043,10063,2661585,1822429,436230,33900
9/2025,1003888,English,1074,1027,47,0,1074,"7,220,651",246548,6974103,972080,3556492,221335,333384,106098,428950,1564314,1559635,5661016,2265315,4767677,187659,5062320,1485478,576642,72214
9/2025,1002691,Giải trí,437,412,25,88,349,"12,752,326",947550,11804776,645944,2762909,216134,3209717,901244,1675963,3236942,2003015,10749311,10618545,2098275,35506,6786359,4730512,1130197,96229
9/2025,1003497,Giáo dục,252,179,73,52,200,"7,313,687",378021,6935666,477064,2782076,363121,1545081,211009,577361,1313057,775015,6538672,6871083,431358,11246,4414010,2347913,507763,40363
9/2025,1003450,Góc nhìn,32,32,0,0,32,"2,327,693",182013,2145680,102751,118130,66257,716318,66988,121093,1130490,682643,1645050,2114667,208714,4312,771873,1011019,530860,12842
9/2025,1006219,Khoa học công nghệ,0,0,0,0,0,"14,909,237",1308774,13600463,876118,3423055,223212,4002198,765385,1356323,3921425,0,0,13312889,1568354,27994,8333385,4928725,1547619,91771
9/2025,1003159,Kinh doanh,595,295,300,138,457,"12,806,405",1024711,11781694,1190503,1971686,467839,3906609,810882,853418,3530999,2309483,10496922,11608822,1177555,20028,6494547,4964754,1279212,61805
9/2025,1004492,Mới nhất,0,0,0,0,0,"5,117,318",423924,4693394,295396,343110,128,678321,152247,488180,3157767,5117318,0,4510322,598681,8315,1165713,2063879,1869884,13799
9/2025,1002835,Ngôi sao,1408,1334,74,1176,232,"45,445,143",1866674,43578469,9214959,7889269,2142339,8961677,1263196,6132791,9762177,17603313,27841830,37737410,7592184,115549,29001074,15602486,497737,280295
9/2025,1001007,Pháp luật,326,326,0,94,232,"16,392,592",1149142,15243450,972419,2500311,519633,4333975,1394253,1920903,4614210,3029254,13363338,14486148,1880061,26383,9339960,5135078,1827948,79864
9/2025,1005858,Spotlight,0,0,0,0,0,"3,724",378,3346,265,23,13,975,447,595,1367,3724,0,3370,343,11,2030,1678,0,16
9/2025,1003750,Sức khỏe,910,341,569,52,858,"9,798,228",623847,9174381,530817,2408273,270982,2330781,366299,759078,3026926,940013,8858215,8823508,954506,20214,5721722,2844248,1143660,56722
9/2025,1001014,Tâm sự,419,419,0,0,419,"9,252,547",663045,8589502,471541,966194,70232,1828281,1441129,1467667,2946186,2685757,6566790,8139316,1095282,17949,4967154,3382640,844697,52577
9/2025,1001002,Thế giới,637,637,0,390,247,"40,870,353",3596777,37273576,2331531,3394535,251038,12578983,4290159,4696951,13014162,11389241,29481112,33770597,6992242,107514,23501206,12771645,4359938,216728
9/2025,1002565,Thể thao,711,624,87,177,534,"21,443,362",1789153,19654209,1509347,4569138,167093,4442703,2616905,1930946,6078822,7267158,14176204,18841421,2560761,41180,13018596,6449159,1843194,105950
9/2025,1001005,Thời sự,544,524,20,427,117,"51,935,239",3786243,48148996,3479982,5720015,2140093,20638154,1855742,4019409,13749386,5032873,46902366,48275191,3586072,73976,30839896,15879924,4958104,237272
9/2025,1001011,Thư giãn,215,215,0,0,215,"7,840,185",280740,7559445,350030,3361861,12789,454544,124839,2720163,769525,276911,7563274,7498509,336175,5501,6322549,1226553,245801,43703
9/2025,1006255,VnE-GO,0,0,0,0,0,"14,228,739",818685,13410054,428039,248903,292993,6141064,332475,870482,5846733,0,0,13036137,1168255,24347,6960569,6188533,1015184,48852
9/2025,1000000,VnExpress,0,0,0,0,0,"184,865,436",12849485,172015951,81485998,20899426,43295,60825,1391305,7273784,73250255,184865436,0,164552639,20002040,310757,93370520,62697904,28029296,665305
9/2025,1001006,Xe,263,232,31,30,233,"9,482,552",778353,8704199,527373,2826223,83490,1523540,840993,697951,2940356,4151834,5330718,8806991,663735,11826,5330070,3503776,593004,45351
